episode,ep_rew,ep_len
1,-19.0,20
2,-21.0,27
3,-11.0,12
4,-110.0,100
5,-70.0,70
6,-122.0,100
7,-17.0,18
8,-12.0,14
9,-12.0,15
10,-20.0,33
11,-110.0,100
12,-28.0,61
13,-11.0,9
14,-16.0,23
15,-9.0,6
16,-10.0,9
17,-110.0,100
18,-13.0,15
19,-12.0,13
20,-110.0,100
21,-69.0,69
22,-110.0,100
23,-10.0,8
24,-110.0,100
25,-16.0,13
26,-11.0,9
27,-9.0,6
28,-17.0,23
29,-110.0,100
30,-20.0,45
31,-12.0,27
32,-20.0,30
33,-110.0,100
34,-13.0,12
35,-110.0,100
36,-14.0,24
37,-44.0,44
38,-87.0,87
39,-12.0,9
40,-122.0,100
41,-10.0,12
42,-110.0,100
43,-110.0,100
44,-9.0,9
45,-110.0,100
46,-123.0,100
47,-110.0,100
48,-20.0,22
49,-20.0,41
50,-72.0,61
51,-110.0,100
52,-14.0,12
53,-80.0,80
54,-13.0,16
55,-13.0,12
56,-11.0,12
57,-110.0,100
58,-110.0,100
59,-12.0,13
60,-94.0,94
61,-13.0,16
62,-11.0,26
63,-135.0,100
64,-13.0,10
65,-11.0,11
66,-11.0,12
67,-50.0,50
68,-110.0,100
69,-11.0,10
70,-11.0,15
71,-15.0,20
72,-13.0,13
73,-11.0,14
74,-15.0,17
75,-30.0,30
76,-85.0,85
77,-11.0,15
78,-116.0,93
79,-13.0,13
80,-11.0,26
81,-11.0,8
82,-22.0,22
83,-16.0,13
84,-15.0,19
85,-110.0,100
86,-11.0,14
87,-12.0,38
88,-110.0,100
89,-10.0,11
90,-110.0,100
91,-110.0,100
92,-110.0,100
93,-110.0,100
94,-9.0,8
95,-18.0,17
96,-82.0,82
97,-12.0,12
98,-14.0,17
99,-93.0,93
100,-16.0,15
101,-12.0,14
102,-89.0,89
103,-20.0,21
104,-13.0,37
105,-12.0,13
106,-13.0,11
107,-110.0,100
108,-18.0,32
109,-11.0,12
110,-32.0,32
111,-12.0,10
112,-70.0,70
113,-110.0,100
114,-110.0,100
115,-63.0,63
116,-110.0,100
117,-110.0,100
118,-96.0,96
119,-110.0,100
120,-110.0,100
121,-11.0,12
122,-10.0,14
123,-15.0,23
124,-9.0,11
125,-18.0,17
126,-110.0,100
127,-18.0,23
128,-17.0,21
129,-14.0,14
130,-110.0,100
131,-110.0,100
132,-110.0,100
133,-13.0,12
134,-13.0,19
135,-11.0,6
136,-110.0,100
137,-171.0,100
138,-110.0,100
139,-129.0,100
140,-110.0,100
141,-14.0,12
142,-15.0,25
143,-110.0,100
144,-110.0,100
145,-17.0,14
146,-110.0,100
147,-12.0,10
148,-13.0,18
149,-12.0,14
150,-18.0,30
151,-110.0,100
152,-110.0,100
153,-23.0,37
154,-12.0,11
155,-110.0,100
156,-12.0,16
157,-9.0,7
158,-28.0,28
159,-16.0,15
160,-110.0,100
161,-19.0,23
162,-14.0,12
163,-80.0,80
164,-11.0,8
165,-110.0,100
166,-13.0,9
167,-12.0,19
168,-15.0,17
169,-15.0,27
170,-110.0,100
171,-48.0,48
172,-14.0,19
173,-110.0,100
174,-13.0,12
175,-110.0,100
176,-10.0,8
177,-110.0,100
178,-110.0,100
179,-22.0,30
180,-17.0,18
181,-16.0,18
182,-110.0,100
183,-110.0,100
184,-16.0,17
185,-10.0,8
186,-110.0,100
187,-132.0,100
188,-12.0,11
189,-110.0,100
190,-85.0,85
191,-110.0,100
192,-11.0,11
193,-66.0,66
194,-130.0,100
195,-13.0,11
196,-13.0,10
197,-14.0,24
198,-15.0,13
199,-17.0,22
200,-110.0,100
201,-110.0,100
202,-15.0,15
203,-11.0,9
204,-19.0,22
205,-10.0,16
206,-11.0,11
207,-98.0,98
208,-105.0,87
209,-110.0,100
210,-110.0,100
211,-110.0,100
212,-110.0,100
213,-11.0,10
214,-14.0,14
215,-110.0,100
216,-11.0,13
217,-13.0,14
218,-110.0,100
219,-11.0,14
220,-76.0,76
221,-99.0,99
222,-16.0,20
223,-52.0,52
224,-110.0,100
225,-110.0,100
226,-110.0,100
227,-9.0,15
228,-14.0,18
229,-14.0,15
230,-12.0,17
231,-110.0,100
232,-110.0,100
233,-110.0,100
234,-98.0,98
235,-15.0,24
236,-37.0,37
237,-80.0,80
238,-95.0,95
239,-56.0,56
240,-11.0,9
241,-110.0,100
242,-14.0,20
243,-15.0,17
244,-177.0,100
245,-17.0,18
246,-12.0,13
247,-110.0,100
248,-18.0,50
249,-110.0,100
250,-110.0,100
251,-110.0,100
252,-10.0,9
253,-12.0,11
254,-14.0,14
255,-29.0,59
256,-13.0,25
257,-127.0,100
258,-15.0,13
259,-9.0,7
260,-11.0,13
261,-12.0,16
262,-110.0,100
263,-11.0,13
264,-110.0,100
265,-17.0,17
266,-12.0,30
267,-19.0,21
268,-16.0,18
269,-12.0,17
270,-110.0,100
271,-10.0,11
272,-110.0,100
273,-66.0,66
274,-11.0,12
275,-99.0,99
276,-64.0,64
277,-110.0,100
278,-15.0,14
279,-110.0,100
280,-13.0,13
281,-11.0,24
282,-15.0,30
283,-10.0,29
284,-110.0,100
285,-23.0,31
286,-36.0,36
287,-11.0,14
288,-17.0,18
289,-110.0,100
290,-135.0,100
291,-17.0,14
292,-22.0,36
293,-56.0,56
294,-110.0,100
295,-9.0,7
296,-110.0,100
297,-134.0,100
298,-38.0,38
299,-9.0,10
300,-110.0,100
301,-12.0,12
302,-24.0,25
303,-13.0,18
304,-110.0,100
305,-110.0,100
306,-12.0,9
307,-110.0,100
308,-17.0,20
309,-13.0,19
310,-50.0,50
311,-12.0,11
312,-11.0,10
313,-110.0,100
314,-88.0,88
315,-24.0,29
316,-110.0,100
317,-10.0,14
318,-110.0,100
319,-24.0,25
320,-110.0,100
321,-110.0,100
322,-11.0,13
323,-14.0,22
324,-10.0,10
325,-13.0,22
326,-110.0,100
327,-10.0,11
328,-11.0,9
329,-12.0,15
330,-12.0,11
331,-110.0,100
332,-14.0,11
333,-110.0,100
334,-9.0,12
335,-10.0,20
336,-19.0,29
337,-11.0,13
338,-110.0,100
339,-10.0,8
340,-110.0,100
341,-14.0,24
342,-110.0,100
343,-110.0,100
344,-10.0,29
345,-13.0,11
346,-110.0,100
347,-134.0,100
348,-110.0,100
349,-16.0,31
350,-20.0,20
351,-12.0,13
352,-11.0,12
353,-12.0,10
354,-110.0,100
355,-110.0,100
356,-12.0,8
357,-14.0,18
358,-110.0,100
359,-18.0,16
360,-14.0,11
361,-17.0,17
362,-91.0,74
363,-21.0,34
364,-13.0,9
365,-15.0,34
366,-21.0,26
367,-12.0,16
368,-110.0,100
369,-12.0,9
370,-13.0,11
371,-14.0,11
372,-9.0,5
373,-19.0,23
374,-11.0,15
375,-18.0,21
376,-19.0,21
377,-12.0,10
378,-17.0,19
379,-66.0,66
380,-110.0,100
381,-13.0,18
382,-9.0,8
383,-110.0,100
384,-15.0,48
385,-110.0,100
386,-22.0,38
387,-12.0,12
388,-27.0,47
389,-110.0,100
390,-110.0,100
391,-18.0,18
392,-20.0,29
393,-9.0,9
394,-15.0,32
395,-17.0,18
396,-15.0,15
397,-10.0,11
398,-83.0,83
399,-17.0,27
400,-13.0,15
401,-13.0,13
402,-110.0,100
403,-12.0,13
404,-110.0,100
405,-110.0,100
406,-110.0,100
407,-110.0,100
408,-110.0,100
409,-19.0,21
410,-14.0,19
411,-110.0,100
412,-14.0,30
413,-110.0,100
414,-69.0,69
415,-14.0,16
416,-45.0,45
417,-13.0,12
418,-17.0,21
419,-96.0,96
420,-9.0,8
421,-110.0,100
422,-110.0,100
423,-49.0,49
424,-18.0,18
425,-12.0,12
426,-110.0,100
427,-110.0,100
428,-110.0,100
429,-11.0,16
430,-21.0,21
431,-13.0,14
432,-59.0,59
433,-10.0,8
434,-82.0,82
435,-22.0,19
436,-12.0,13
437,-64.0,64
438,-92.0,92
439,-12.0,12
440,-27.0,27
441,-19.0,35
442,-10.0,10
443,-110.0,100
444,-9.0,8
445,-15.0,15
446,-44.0,44
447,-110.0,100
448,-20.0,22
449,-110.0,100
450,-16.0,21
451,-49.0,49
452,-110.0,100
453,-13.0,15
454,-110.0,100
