episode,ep_rew,ep_len
1,-110.0,100
2,-14.0,15
3,-18.0,48
4,-18.0,19
5,-110.0,100
6,-12.0,10
7,-15.0,19
8,-9.0,6
9,-18.0,17
10,-10.0,9
11,-13.0,11
12,-110.0,100
13,-19.0,20
14,-13.0,16
15,-110.0,100
16,-110.0,100
17,-110.0,100
18,-11.0,15
19,-16.0,18
20,-16.0,14
21,-16.0,18
22,-110.0,100
23,-13.0,16
24,-17.0,17
25,-110.0,100
26,-26.0,34
27,-110.0,100
28,-12.0,14
29,-12.0,22
30,-18.0,21
31,-12.0,15
32,-133.0,100
33,-12.0,9
34,-110.0,100
35,-113.0,100
36,-12.0,12
37,-11.0,22
38,-12.0,22
39,-12.0,12
40,-9.0,13
41,-110.0,100
42,-110.0,100
43,-11.0,10
44,-13.0,10
45,-15.0,19
46,-12.0,12
47,-110.0,100
48,-12.0,9
49,-15.0,27
50,-15.0,42
51,-42.0,42
52,-110.0,100
53,-12.0,12
54,-110.0,100
55,-11.0,11
56,-15.0,20
57,-110.0,100
58,-11.0,10
59,-14.0,12
60,-64.0,64
61,-44.0,44
62,-9.0,7
63,-11.0,10
64,-10.0,16
65,-110.0,100
66,-50.0,50
67,-110.0,100
68,-110.0,100
69,-10.0,14
70,-13.0,14
71,-10.0,11
72,-110.0,100
73,-11.0,14
74,-13.0,12
75,-12.0,13
76,-15.0,20
77,-110.0,100
78,-30.0,30
79,-37.0,33
80,-110.0,100
81,-24.0,50
82,-12.0,12
83,-110.0,100
84,-26.0,23
85,-85.0,85
86,-110.0,100
87,-110.0,100
88,-9.0,8
89,-110.0,100
90,-74.0,74
91,-35.0,30
92,-43.0,43
93,-31.0,31
94,-9.0,10
95,-70.0,70
96,-14.0,17
97,-60.0,60
98,-11.0,10
99,-14.0,21
100,-11.0,14
101,-11.0,12
102,-10.0,8
103,-11.0,15
104,-18.0,25
105,-110.0,100
106,-13.0,27
107,-10.0,10
108,-12.0,12
109,-10.0,15
110,-35.0,35
111,-11.0,11
112,-110.0,100
113,-110.0,100
114,-11.0,23
115,-11.0,17
116,-47.0,47
117,-11.0,29
118,-18.0,30
119,-12.0,29
120,-15.0,43
121,-14.0,29
122,-16.0,16
123,-12.0,12
124,-31.0,31
125,-15.0,15
126,-18.0,18
127,-13.0,13
128,-45.0,45
129,-14.0,12
130,-35.0,35
131,-11.0,8
132,-16.0,21
133,-10.0,9
134,-9.0,10
135,-9.0,10
136,-14.0,14
137,-12.0,9
138,-97.0,80
139,-13.0,42
140,-13.0,17
141,-11.0,10
142,-21.0,21
143,-23.0,23
144,-34.0,34
145,-12.0,14
146,-10.0,10
147,-10.0,11
148,-20.0,20
149,-44.0,44
150,-14.0,16
151,-132.0,100
152,-110.0,100
153,-16.0,19
154,-75.0,75
155,-10.0,9
156,-110.0,100
157,-89.0,89
158,-72.0,72
159,-9.0,7
160,-10.0,10
161,-57.0,57
162,-41.0,41
163,-11.0,14
164,-64.0,64
165,-10.0,8
166,-11.0,11
